date,price
01-07-91,3.526591
01-08-91,3.180891
01-09-91,3.252221
01-10-91,3.611003
01-11-91,3.565869
01-12-91,4.306371
01-01-92,5.088335
01-02-92,2.81452
01-03-92,2.985811
01-04-92,3.20478
01-05-92,3.127578
01-06-92,3.270523
01-07-92,3.73785082
01-08-92,3.55877609
01-09-92,3.77720173
01-10-92,3.92449042
01-11-92,4.38653092
01-12-92,5.81054917
01-01-93,6.19206769
01-02-93,3.45085699
01-03-93,3.77230686
01-04-93,3.7343029
01-05-93,3.90539892
01-06-93,4.04968714
01-07-93,4.31556552
01-08-93,4.56218455
01-09-93,4.60866203
01-10-93,4.66785129
01-11-93,5.09384145
01-12-93,7.1799622
01-01-94,6.73147308
01-02-94,3.84127758
01-03-94,4.39407557
01-04-94,4.07534073
01-05-94,4.5406449
01-06-94,4.64561508
01-07-94,4.75260653
01-08-94,5.35060467
01-09-94,5.20445484
01-10-94,5.3016513
01-11-94,5.77374216
01-12-94,6.20459348
01-01-95,6.74948382
01-02-95,4.21606735
01-03-95,4.94934946
01-04-95,4.8230449
01-05-95,5.19475419
01-06-95,5.17078711
01-07-95,5.25674157
01-08-95,5.85527729
01-09-95,5.49072901
01-10-95,6.11529323
01-11-95,6.08847284
01-12-95,7.41659792
01-01-96,8.32945212
01-02-96,5.06979585
01-03-96,5.26255667
01-04-96,5.59712628
01-05-96,6.110296
01-06-96,5.68916084
01-07-96,6.48684933
01-08-96,6.30056933
01-09-96,6.46747574
01-10-96,6.82862939
01-11-96,6.64907826
01-12-96,8.60693721
01-01-97,8.52447101
01-02-97,5.27791837
01-03-97,5.71430345
01-04-97,6.21452908
01-05-97,6.41192919
01-06-97,6.66771564
01-07-97,7.05083102
01-08-97,6.70491861
01-09-97,7.25098761
01-10-97,7.81973318
01-11-97,7.39810106
01-12-97,10.09623339
01-01-98,8.79851303
01-02-98,5.91826076
01-03-98,6.53449298
01-04-98,6.67573561
01-05-98,7.06420058
01-06-98,7.38338118
01-07-98,7.81349587
01-08-98,7.43189221
01-09-98,8.27511722
01-10-98,8.26044138
01-11-98,8.59615575
01-12-98,10.55893902
01-01-99,10.3914156
01-02-99,6.42153456
01-03-99,8.06261937
01-04-99,7.2977391
01-05-99,7.93691594
01-06-99,8.16532298
01-07-99,8.71742046
01-08-99,9.07096378
01-09-99,9.17711337
01-10-99,9.25188674
01-11-99,9.93313643
01-12-99,11.53297428
01-01-00,12.51146235
01-02-00,7.45719853
01-03-00,8.59119084
01-04-00,8.47400037
01-05-00,9.3868026
01-06-00,9.56039945
01-07-00,10.8342948
01-08-00,10.64375083
01-09-00,9.90816186
01-10-00,11.7100413
01-11-00,11.34015074
01-12-00,12.07913184
01-01-01,14.49758109
01-02-01,8.04927477
01-03-01,10.31289116
01-04-01,9.75335821
01-05-01,10.85038183
01-06-01,9.96171916
01-07-01,11.44360144
01-08-01,11.65923889
01-09-01,10.64705979
01-10-01,12.65213444
01-11-01,13.67446631
01-12-01,12.96573509
01-01-02,16.30026927
01-02-02,9.05348536
01-03-02,10.00244879
01-04-02,10.78875007
01-05-02,12.10670515
01-06-02,10.95410107
01-07-02,12.84456587
01-08-02,12.19649985
01-09-02,12.85474787
01-10-02,13.54200436
01-11-02,13.28764
01-12-02,15.13491784
01-01-03,16.82834968
01-02-03,9.80021461
01-03-03,10.81699371
01-04-03,10.65422256
01-05-03,12.51232269
01-06-03,12.16120969
01-07-03,12.9980462
01-08-03,12.51727568
01-09-03,13.26865761
01-10-03,14.73362169
01-11-03,13.66938174
01-12-03,16.50396561
01-01-04,18.00376795
01-02-04,11.93802987
01-03-04,12.9979001
01-04-04,12.88264507
01-05-04,13.94344681
01-06-04,13.9894722
01-07-04,15.33909742
01-08-04,15.37076394
01-09-04,16.142005
01-10-04,16.685754
01-11-04,17.636728
01-12-04,18.869325
01-01-05,20.778723
01-02-05,12.154552
01-03-05,13.402392
01-04-05,14.459239
01-05-05,14.795102
01-06-05,15.705248
01-07-05,15.82955
01-08-05,17.554701
01-09-05,18.100864
01-10-05,17.496668
01-11-05,19.347265
01-12-05,20.031291
01-01-06,23.486694
01-02-06,12.536987
01-03-06,15.467018
01-04-06,14.233539
01-05-06,17.783058
01-06-06,16.291602
01-07-06,16.980282
01-08-06,18.612189
01-09-06,16.623343
01-10-06,21.430241
01-11-06,23.575517
01-12-06,23.334206
01-01-07,28.038383
01-02-07,16.763869
01-03-07,19.792754
01-04-07,16.427305
01-05-07,21.000742
01-06-07,20.681002
01-07-07,21.83489
01-08-07,23.93020353
01-09-07,22.93035694
01-10-07,23.26333992
01-11-07,25.25003022
01-12-07,25.80609
01-01-08,29.665356
01-02-08,21.654285
01-03-08,18.264945
01-04-08,23.107677
01-05-08,22.91251
01-06-08,19.43174
