Month,Sales
2021-05-01,6550
2021-05-02,8728
2021-05-03,12026
2021-05-04,14395
2021-05-05,14587
2021-05-06,13791
2021-05-07,9498
2021-05-08,8251
2021-05-09,7049
2021-05-10,9545
2021-05-11,9364
2021-05-12,8456
2021-05-13,7237
2021-05-14,9374
2021-05-15,11837
2021-05-16,13784
2021-05-17,15926
2021-05-18,13821
2021-05-19,11143
2021-05-20,7975
2021-05-21,7610
2021-05-22,10015
2021-05-23,12759
2021-05-24,8816
2021-05-25,10677
2021-05-26,10947
2021-05-27,15200
2021-05-28,17010
2021-05-29,20900
2021-05-30,16205
2021-05-31,12143
2021-06-01,8997
2021-06-02,5568
2021-06-03,11474
2021-06-04,12256
2021-06-05,10583
2021-06-06,10862
2021-06-07,10965
2021-06-08,14405
2021-06-09,20379
2021-06-10,20128
2021-06-11,17816
2021-06-12,12268
2021-06-13,8642
2021-06-14,7962
2021-06-15,13932
2021-06-16,15936
2021-06-17,12628
2021-06-18,12267
2021-06-19,12470
2021-06-20,18944
2021-06-21,21259
2021-06-22,22015
2021-06-23,18581
2021-06-24,15175
2021-06-25,10306
2021-06-26,10792
2021-06-27,14752
2021-06-28,13754
2021-06-29,11738
2021-06-30,12181
2021-07-01,12965
2021-07-02,19990
2021-07-03,23125
2021-07-04,23541
2021-07-05,21247
2021-07-06,15189
2021-07-07,14767
2021-07-08,10895
2021-07-09,17130
2021-07-10,17697
2021-07-11,16611
2021-07-12,12674
2021-07-13,12760
2021-07-14,20249
2021-07-15,22135
2021-07-16,20677
2021-07-17,19933
2021-07-18,15388
2021-07-19,15113
2021-07-20,13401
2021-07-21,16135
2021-07-22,17562
2021-07-23,14720
2021-07-24,12225
2021-07-25,11608
2021-07-26,20985
2021-07-27,19692
2021-07-28,24081
2021-07-29,22114
2021-07-30,14220
2021-07-31,13434
2021-08-01,13598
2021-08-02,17187
2021-08-03,16119
2021-08-04,13713
2021-08-05,13210
2021-08-06,14251
2021-08-07,20139
2021-08-08,21725
2021-08-09,26099
2021-08-10,21084
2021-08-11,18024
2021-08-12,16722
2021-08-13,14385
2021-08-14,21342
2021-08-15,17180
2021-08-16,14577
